suite_id,condition,passed,total,pass_rate,ci_low,ci_high,delta_vs_baseline
suite_a,full_docs,167,198,84.3,78.6,88.7,0.0
suite_a,minimal_docs,91,198,46.0,39.2,52.9,-38.4
suite_a,reference_no_examples,167,198,84.3,78.6,88.7,0.0
suite_a,signature_only,85,198,42.9,36.2,49.9,-41.4
suite_d,baseline,167,198,84.3,78.6,88.7,0.0
suite_d,case_with,161,198,81.3,75.3,86.1,-3.0
suite_d,cond_if,172,198,86.9,81.5,90.9,2.5
suite_d,function_heads,164,198,82.8,77.0,87.4,-1.5
suite_e,baseline,166,198,83.8,78.1,88.3,0.0
suite_e,sentinel_helpers,166,198,83.8,78.1,88.3,0.0
suite_e,tagged_tuple_helpers,172,198,86.9,81.5,90.9,3.0
suite_f,baseline,162,198,81.8,75.9,86.6,0.0
suite_f,explicit_state_threading,172,198,86.9,81.5,90.9,5.1
suite_f,immutable_pipeline,162,198,81.8,75.9,86.6,0.0
suite_f,rebinding_stepwise,173,198,87.4,82.0,91.3,5.6
