language,runtime_subtype,count
cpp,assertion_test_abort,68
cpp,other_runtime,1
csharp,assertion_test_abort,6
csharp,language_exception,13
csharp,other_runtime,29
csharp,timeout,6
dart,assertion_test_abort,66
dart,language_exception,8
dart,other_runtime,13
elixir,assertion_test_abort,7
elixir,language_exception,2
elixir,other_runtime,16
go,assertion_test_abort,37
go,other_runtime,72
java,language_exception,1
java,other_runtime,75
javascript,assertion_test_abort,96
javascript,language_exception,2
javascript,other_runtime,7
julia,assertion_test_abort,54
julia,other_runtime,31
julia,timeout,1
kotlin,assertion_test_abort,25
kotlin,other_runtime,22
perl,assertion_test_abort,35
perl,other_runtime,76
php,assertion_test_abort,86
php,language_exception,9
php,other_runtime,33
python,assertion_test_abort,95
python,language_exception,12
python,other_runtime,3
r,assertion_test_abort,25
r,other_runtime,65
racket,assertion_test_abort,38
racket,missing_dependency,37
racket,other_runtime,21
ruby,assertion_test_abort,42
ruby,language_exception,2
ruby,other_runtime,30
rust,assertion_test_abort,19
rust,other_runtime,99
rust,timeout,1
scala,assertion_test_abort,77
scala,language_exception,3
scala,other_runtime,18
shell,assertion_test_abort,2
shell,other_runtime,91
swift,assertion_test_abort,60
swift,other_runtime,53
typescript,assertion_test_abort,5
typescript,language_exception,7
typescript,other_runtime,3
