metric,excluded_language,pearson_without_language,delta_pearson,spearman_without_language,delta_spearman
docs_score,cpp,0.281,0.053,0.435,0.04
docs_score,csharp,0.148,-0.081,0.351,-0.045
docs_score,dart,0.221,-0.007,0.383,-0.013
docs_score,elixir,0.398,0.17,0.453,0.057
docs_score,go,0.202,-0.026,0.351,-0.045
docs_score,java,0.271,0.043,0.397,0.001
docs_score,javascript,0.2,-0.028,0.337,-0.059
docs_score,julia,0.238,0.01,0.425,0.029
docs_score,kotlin,0.188,-0.041,0.397,0.001
docs_score,perl,0.203,-0.026,0.358,-0.038
docs_score,php,0.138,-0.09,0.307,-0.088
docs_score,python,0.229,0.001,0.425,0.029
docs_score,r,0.233,0.004,0.414,0.019
docs_score,racket,0.225,-0.003,0.408,0.012
docs_score,ruby,0.244,0.015,0.421,0.026
docs_score,rust,0.274,0.046,0.498,0.103
docs_score,scala,0.247,0.019,0.409,0.013
docs_score,shell,0.237,0.009,0.402,0.006
docs_score,swift,0.206,-0.022,0.349,-0.046
docs_score,typescript,0.217,-0.011,0.369,-0.027
control_flow_score,cpp,0.569,0.006,0.179,-0.018
control_flow_score,csharp,0.622,0.058,0.193,-0.004
control_flow_score,dart,0.564,0.001,0.205,0.008
control_flow_score,elixir,0.074,-0.489,0.063,-0.134
control_flow_score,go,0.587,0.024,0.286,0.089
control_flow_score,java,0.563,-0.001,0.219,0.022
control_flow_score,javascript,0.578,0.014,0.275,0.078
control_flow_score,julia,0.586,0.022,0.274,0.077
control_flow_score,kotlin,0.653,0.089,0.223,0.026
control_flow_score,perl,0.561,-0.002,0.168,-0.029
control_flow_score,php,0.577,0.013,0.207,0.01
control_flow_score,python,0.553,-0.011,0.158,-0.039
control_flow_score,r,0.569,0.005,0.23,0.033
control_flow_score,racket,0.571,0.007,0.19,-0.008
control_flow_score,ruby,0.571,0.008,0.19,-0.008
control_flow_score,rust,0.538,-0.025,0.091,-0.106
control_flow_score,scala,0.599,0.035,0.19,-0.008
control_flow_score,shell,0.566,0.002,0.199,0.002
control_flow_score,swift,0.553,-0.011,0.158,-0.039
control_flow_score,typescript,0.566,0.002,0.232,0.035
mutability_burden,cpp,-0.217,-0.009,-0.238,0.002
mutability_burden,csharp,-0.333,-0.126,-0.355,-0.115
mutability_burden,dart,-0.211,-0.004,-0.289,-0.049
mutability_burden,elixir,-0.03,0.177,-0.127,0.113
mutability_burden,go,-0.23,-0.023,-0.272,-0.032
mutability_burden,java,-0.205,0.002,-0.269,-0.029
mutability_burden,javascript,-0.202,0.005,-0.212,0.028
mutability_burden,julia,-0.201,0.007,-0.21,0.03
mutability_burden,kotlin,-0.216,-0.009,-0.256,-0.016
mutability_burden,perl,-0.244,-0.037,-0.285,-0.045
mutability_burden,php,-0.157,0.05,-0.159,0.081
mutability_burden,python,-0.222,-0.015,-0.27,-0.03
mutability_burden,r,-0.208,-0.0,-0.204,0.035
mutability_burden,racket,-0.241,-0.034,-0.238,0.002
mutability_burden,ruby,-0.203,0.004,-0.269,-0.029
mutability_burden,rust,-0.135,0.072,-0.131,0.109
mutability_burden,scala,-0.203,0.004,-0.245,-0.005
mutability_burden,shell,-0.22,-0.013,-0.247,-0.007
mutability_burden,swift,-0.232,-0.025,-0.268,-0.028
mutability_burden,typescript,-0.208,-0.001,-0.244,-0.004
contract_score,cpp,-0.148,-0.006,0.048,-0.019
contract_score,csharp,-0.195,-0.054,0.009,-0.059
contract_score,dart,-0.138,0.003,0.042,-0.026
contract_score,elixir,-0.155,-0.013,0.021,-0.047
contract_score,go,-0.171,-0.03,0.023,-0.045
contract_score,java,-0.136,0.005,0.058,-0.01
contract_score,javascript,-0.16,-0.019,0.046,-0.022
contract_score,julia,-0.138,0.003,0.042,-0.026
contract_score,kotlin,-0.127,0.014,0.033,-0.034
contract_score,perl,-0.171,-0.029,0.037,-0.031
contract_score,php,-0.195,-0.054,-0.003,-0.07
contract_score,python,-0.102,0.039,0.16,0.092
contract_score,r,-0.139,0.002,0.062,-0.005
contract_score,racket,-0.149,-0.007,0.091,0.024
contract_score,ruby,-0.115,0.027,0.179,0.111
contract_score,rust,0.111,0.252,0.223,0.155
contract_score,scala,-0.137,0.004,0.081,0.013
contract_score,shell,-0.151,-0.009,0.068,0.001
contract_score,swift,-0.17,-0.029,0.026,-0.041
contract_score,typescript,-0.144,-0.002,0.1,0.032
