language,rows,passed,pass_rate,mean_control_flow_score,mean_pattern_signal_count,mean_dispatch_count,mean_imperative_branch_count,success_feature_corr
elixir,198,173,87.4,6.517,3.545,1.182,3.798,0.024
kotlin,200,153,76.5,-1.285,0.0,1.275,7.675,0.054
csharp,199,144,72.4,-1.196,0.0,1.467,8.126,-0.049
ruby,200,126,63.0,-0.678,0.0,0.93,4.95,0.072
julia,200,114,57.0,-2.208,0.0,0.69,7.935,0.034
dart,200,113,56.5,-0.698,0.0,2.03,8.85,-0.178
r,198,108,54.5,-1.588,0.0,1.01,7.505,0.034
java,188,96,51.1,-1.322,0.0,2.048,10.473,-0.08
racket,196,100,51.0,0.103,0.0,1.026,3.332,-0.154
scala,199,101,50.8,1.553,0.0,3.734,9.186,-0.14
shell,188,95,50.5,-0.555,0.0,0.851,4.367,-0.066
cpp,186,93,50.0,-2.959,0.0,1.591,12.968,-0.028
typescript,199,98,49.2,-0.676,0.0,1.472,6.844,0.059
perl,200,89,44.5,-1.326,0.0,0.22,4.085,0.053
python,196,86,43.9,-2.014,0.0,1.143,9.036,0.04
swift,200,87,43.5,-1.945,0.0,0.805,7.68,0.087
go,191,82,42.9,-0.194,0.0,1.712,6.476,-0.053
javascript,184,79,42.9,-0.574,0.0,1.489,6.647,0.06
rust,199,80,40.2,-2.718,0.0,1.899,13.442,-0.086
php,199,71,35.7,-1.217,0.0,1.302,7.598,-0.002
