language,rows,passed,pass_rate,mean_contract_score,mean_tagged_tuple_count,mean_typed_result_count,mean_boolean_contract_count,success_feature_corr
elixir,198,173,87.4,1.108,0.141,0.126,0.96,-0.014
kotlin,200,153,76.5,0.908,0.0,0.385,2.795,0.077
csharp,199,144,72.4,2.09,0.0,0.296,2.171,0.002
ruby,200,126,63.0,0.214,0.0,0.085,0.94,0.087
julia,200,114,57.0,0.963,0.0,0.065,1.275,-0.034
dart,200,113,56.5,0.947,0.0,0.28,2.395,0.075
r,198,108,54.5,0.555,0.0,0.384,1.566,0.082
java,188,96,51.1,2.699,0.0,0.793,2.654,-0.128
racket,196,100,51.0,0.366,0.0,0.179,0.077,-0.013
scala,199,101,50.8,2.175,0.0,0.965,1.985,0.061
shell,188,95,50.5,0.32,0.0,0.229,0.41,-0.047
cpp,186,93,50.0,0.702,0.0,0.183,3.14,0.039
typescript,199,98,49.2,1.149,0.0,0.91,2.261,-0.029
perl,200,89,44.5,0.268,0.0,0.185,0.185,-0.017
python,196,86,43.9,3.049,0.0,1.587,1.883,-0.157
swift,200,87,43.5,0.392,0.0,0.13,1.415,0.082
go,191,82,42.9,0.426,0.0,0.089,1.147,-0.01
javascript,184,79,42.9,0.764,0.0,0.663,2.087,-0.037
rust,199,80,40.2,6.89,0.0,4.266,2.387,-0.185
php,199,71,35.7,0.44,0.0,0.528,2.794,-0.018
