language,rows,passed,pass_rate,mean_alignment_score,mean_question_canonical_overlap,mean_question_test_overlap,mean_canonical_test_overlap,success_feature_corr
elixir,198,173,87.4,17.311,0.218,0.118,0.168,0.003
kotlin,200,153,76.5,24.844,0.332,0.179,0.206,0.223
csharp,199,144,72.4,25.998,0.325,0.189,0.244,0.006
ruby,200,126,63.0,18.285,0.208,0.162,0.17,-0.144
julia,200,114,57.0,18.95,0.248,0.147,0.154,-0.151
dart,200,113,56.5,25.051,0.337,0.181,0.205,-0.129
r,198,108,54.5,19.849,0.252,0.166,0.159,-0.118
java,188,96,51.1,26.026,0.344,0.186,0.223,-0.196
racket,196,100,51.0,19.684,0.232,0.159,0.188,0.014
scala,199,101,50.8,24.658,0.33,0.186,0.197,-0.124
shell,188,95,50.5,19.863,0.194,0.204,0.199,0.018
cpp,186,93,50.0,22.755,0.276,0.152,0.238,-0.171
typescript,199,98,49.2,25.877,0.296,0.23,0.237,0.008
perl,200,89,44.5,18.233,0.17,0.154,0.226,-0.383
python,196,86,43.9,21.405,0.245,0.195,0.193,-0.062
swift,200,87,43.5,16.946,0.227,0.138,0.124,-0.14
go,191,82,42.9,22.955,0.182,0.273,0.249,-0.206
javascript,184,79,42.9,27.895,0.272,0.319,0.247,-0.069
rust,199,80,40.2,20.149,0.287,0.122,0.167,-0.005
php,199,71,35.7,25.395,0.286,0.229,0.236,-0.197
